female_ID,clutch_ID,clutch_code,maternal_clutch,larval_temp,pupal_temp,female_mass,fertile_eggs,infertile_eggs,total_eggs,egg_mean,X.x,egg_mean_blinded,egg_mean_round_three,X.y,X.1
HOT.WTH.44_P5_C,H.C.3,3462,44,hot,cool,0.0269,NA,NA,213,0.100277601,,0.102332255,0.058643389,,
CTRL.WTH.42_P3_M,A.M.2,3510,42,ambient,mean,0.0279,NA,NA,210,0.102,,0.105399631,0.061295953,,
CTRL.WTH.60_P3_W,A.W.4,9717,60,ambient,warm,0.0205,NA,NA,60,0.085610657,,0.090906987,0.053517202,,
WARM.WTH.1_P2_M,W.M.5,3985,1,warm,mean,0.0301,NA,NA,245,0.0897,,NA,0.054239222,"don’t use for repeatability, measured in wrong order",
CTRL.WTH.42_P7_W,A.W.6,2841,42,ambient,warm,0.0297,NA,NA,35,0.0969,,0.095986709,0.057266387,,
HOT.WTH.15_P4_A,H.A.8,4370,15,hot,ambient,0.0313,NA,NA,36,0.0936,,0.091831188,0.057153158,,
HOT.WTH.60_P3_A,H.A.9,5760,60,hot,ambient,0.0256,NA,NA,100,0.102,,0.102875286,0.06255607,,
CTRL.WTH.44_P7_M,A.M.11,7745,44,ambient,mean,0.026,NA,NA,11,0.0941,,0.092214841,0.055532357,,
CTRL.WTH.16_P4_W,A.W.12,3756,16,ambient,warm,0.0244,NA,NA,11,0.103,,0.098231377,0.061100171,,
HOT.WTH.26_P2_M,H.M.15,6106,26,hot,mean,0.0326,NA,NA,199,0.09655992,,0.094587741,0.0558,,
CTRL.WTH.60_P2_M,A.M.17,3887,60,hot,mean,0.0373,NA,NA,223,0.085490321,,0.084823235,0.050217825,,
CTRL.WTH.44_P1_C,A.C.18,7169,44,ambient,cool,0.0254,NA,NA,4,0.090657491,,0.09461,0.052966345,,
HOT.WTH.102_P6_C,H.C.19,3566,102,hot,cool,0.0485,NA,NA,251,0.119863069,,0.118432837,0.0701,,
WARM.WTH.44_P1_A,W.A.21,3979,44,warm,ambient,0.0375,NA,NA,3,0.103131689,,NA,0.060351297,,
CTRL.WTH.94_P2_A,C.A.22,2613,94,ambient,ambient,0.0324,NA,NA,49,0.108058897,,0.106159863,0.063964177,"don’t use for repeatability, measured in wrong order",
CTRL.WTH.60_P6_H,A.H.23,1554,60,ambient,hot,0.0223,NA,NA,168,0.07567919,,0.076900981,0.047054132,,
HOT.WTH.86.P1_W,H.W.25,5468,86,hot,warm,0.0401,NA,NA,187,0.087374991,,0.088995806,0.061373128,,
WARM.WTH.37_P2_W,W.W.27,8788,37,warm,warm,0.037,NA,NA,226,0.091949553,,0.0906,0.054278764,,
HOT.WTH.152_P3_A,H.A.29,2046,152,hot,ambient,0.0282,NA,NA,138,0.10726523,,0.108549885,0.064187532,,
HOT.WTH.117_P1_A,H.A.30,8066,117,hot,ambient,0.0296,NA,NA,169,0.113926921,,0.11302,0.0667,,
CTRL.WTH.164_P4_C,A.C.31,4003,163,ambient,cool,0.025,NA,NA,109,0.09369543,,0.094055565,0.0583,,
CTRL.WTH.152_P5_M,A.M.33,4206,152,ambient,mean,0.0212,NA,NA,176,0.100388569,,0.098711923,0.059549501,,
CTRL.WTH.43_P2_M,A.M.35,8988,43,ambient,mean,0.0343,NA,NA,40,0.096657773,,0.09332,0.0569,,
CTRL.WTH.117_P4_M,A.M.36,4994,117,ambient,mean,0.0309,NA,NA,304,0.095668101,,0.09582155,0.056882857,,
CTRL.WTH.170_P6_M,A.M.37,9357,170,ambient,mean,0.0231,NA,NA,169,0.086359882,,0.0859,0.0512,,
WARM.WTH.164_P2_M,W.M.38,1216,164,warm,mean,0.0242,NA,NA,82,0.087208891,,0.089119263,0.05341007,,
WARM.WTH.44_P3_C,W.C.41,9156,44,warm,cool,0.0333,NA,NA,34,0.107466058,,0.107,0.0624,,
HOT.WTH.25_P5_C,H.C.42,7215,25,hot,cool,0.0305,NA,NA,178,0.097669661,,0.09756,0.056500257,,
HOT.WTH.16_P5_W,H.W.48,9779,16,hot,warm,0.0361,NA,NA,247,0.084060726,,NA,0.049633836,,
HOT.WTH.43_P6_W,H.W.49,2598,43,hot,warm,0.0284,NA,NA,10,0.084163838,,0.082829169,0.050123098,,
CTRL.WTH.53_P4_M,A.M.178,5236,53,ambient,mean,0.0338,NA,NA,271,0.104886874,,0.117748372,0.060793011,,
CTRL.WTH.78_P1_H,A.H.65,4936,78,ambient,hot,0.025,NA,NA,16,0.069413454,,0.070784162,0.04255572,,
HOT.WTH.17_P1_H,H.H.67,5088,17,hot,hot,0.0224,NA,NA,17,0.096079413,,0.096132415,0.057255647,,
CTRL.WTH.49_P2_C,A.C.56,3906,49,ambient,cool,0.0323,NA,NA,252,NA,,NA,0.062657255,,
CTRL.WTH.60_P4_C,A.C.40,1293,60,ambient,cool,0.0265,NA,NA,232,NA,,NA,0.05136921,,
CTRL.WTH.29_P5_C,A.C.44,9468,29,ambient,cool,0.0291,NA,NA,153,NA,,NA,0.05055001,,
CTRL.WTH.170_P4_W,A.W.51,1040,170,ambient,warm,0.0262,NA,NA,245,NA,,NA,0.0499,,
CTRL.WTH_P8_W,A.W.52,9507,NA,ambient,warm,0.0273,NA,NA,90,NA,,NA,0.05112996,,
CTRL.WTH.60_P5_A,A.A.57,8390,60,ambient,ambient,0.0248,NA,NA,116,NA,,NA,0.060008389,,
WARM.WTH.152_P2_A,W.A.58,7671,152,warm,ambient,0.0172,NA,NA,102,NA,,NA,0.072492037,,
HOT.WTH.16_P1_A,H.A.59,8283,16,hot,ambient,0.0295,NA,NA,53,NA,,NA,0.0647,,
WARM.WTH.48_P1_M,W.M.60,3503,48,warm,mean,0.0245,NA,NA,76,NA,,NA,0.048998627,,
WARM.WTH.110_P2_M,W.M.61,7741,110,warm,mean,0.0237,NA,NA,81,NA,,NA,0.057475365,,
WARM.WTH.23_P4_M,W.M.62,9943,23,warm,mean,0.0273,NA,NA,149,NA,,NA,0.059459895,,
HOT.WTH.47_P4_H,H.H.93,7128,47,hot,hot,0.0331,NA,NA,269,NA,,NA,0.064607848,,
CTRL.WTH.153_P4_H,A.H.94,5611,153,ambient,hot,0.0237,NA,NA,26,NA,,NA,0.055358751,,
HOT.WTH.104_P3_H,H.H.95,3116,104,hot,hot,0.0274,NA,NA,101,NA,,NA,0.054011088,,
HOT.WTH.44_P2_H,H.H.124,7133,44,hot,hot,0.0341,NA,NA,6,NA,,NA,0.052299649,,
CTRL.WTH.42_P2_H,A.H.125,1754,42,ambient,hot,0.0237,NA,NA,45,NA,,NA,0.052846617,,
WARM.WTH.53_P6_H,W.H.126,7552,53,warm,hot,0.0203,NA,NA,280,NA,,NA,NA,,
CTRL.WTH.170_P3_H,A.H.147,6427,170,ambient,hot,0.0199,NA,NA,88,NA,,NA,0.0538,,
HOT.WTH.43_P1_W,H.W.110,8126,43,hot,warm,0.0313,NA,NA,186,NA,,NA,NA,,
CTRL.WTH.42_P4_W,A.W.111,4357,42,ambient,warm,0.0277,NA,NA,59,NA,,NA,NA,,
CTRL.WTH.113_P3_W,A.W.72,4979,113,ambient,warm,0.0112,NA,NA,11,NA,,NA,NA,,
HOT.WTH.86_P8_W,H.W.74,4229,86,hot,warm,0.0362,NA,NA,362,NA,,NA,NA,,
WARM.WTH.1_P6_W,W.W.75,6602,1,warm,warm,0.0264,NA,NA,224,NA,,NA,NA,,
CTRL.WTH.88_P1_W,A.W.76,5575,88,ambient,warm,0.03655,NA,NA,168,NA,,NA,NA,,
WARM.WTH.152_P3_C,W.C.75,4782,152,warm,cool,0.027,NA,NA,175,NA,,NA,0.070488789,,
WARM.WTH.150_P2_C,W.C.76,8830,150,warm,cool,0.0287,NA,NA,77,NA,,NA,0.066135432,,
